log,cutoff,combo,exp,ate,home_miss,drift_rate,yaw_rmse,vert_rmse,cross_track,success
B,30.0,C3,exp2,30.30790261119987,0.1202856039935744,3.051163359892801,0.2951189760737813,0.1679885954863239,0.0,True
B,60.0,C3,exp1,223.98016009073558,742.0495588770422,12.288188575741948,0.2930563648756169,0.33877906885342496,0.0,False
B,60.0,C3,exp2,223.98016009073558,1.5439135827955521,12.288188575741948,0.2930563648756169,0.33877906885342496,0.7377229885478118,True
B,10.0,C4,exp1,1.7233079680275452,4.490326557531551,0.44704505995162946,0.29696737462329537,0.17501345481909394,0.0,False
B,10.0,C4,exp2,1.7233079680275452,0.03543951111364499,0.44704505995162946,0.29696737462329537,0.17501345481909394,0.0,True
B,30.0,C4,exp1,11.37119957281572,27.137987957555403,0.9016860105274377,0.2951189760737813,0.1679885954863239,0.0,False
B,30.0,C4,exp2,11.37119957281572,0.1202856039935744,0.9016860105274377,0.2951189760737813,0.1679885954863239,0.0,True
B,60.0,C4,exp1,43.068926007719355,111.30515476558193,1.7881930836886195,0.2930563648756169,0.33877906885342496,0.0,False
B,60.0,C4,exp2,43.068926007719355,1.5439135827955521,1.7881930836886195,0.2930563648756169,0.33877906885342496,0.7377229885478118,True
B,10.0,C5,exp1,1.7233079680275452,4.490326557531551,0.44704505995162946,0.29696737462329537,0.17501345481909394,0.0,False
B,10.0,C5,exp2,1.7233079680275452,0.03543951111364499,0.44704505995162946,0.29696737462329537,0.17501345481909394,0.0,True
B,30.0,C5,exp1,11.37119957281572,27.137987957555403,0.9016860105274377,0.2951189760737813,0.1679885954863239,0.0,False
B,30.0,C5,exp2,11.37119957281572,0.1202856039935744,0.9016860105274377,0.2951189760737813,0.1679885954863239,0.0,True
B,60.0,C5,exp1,43.068926007719355,111.30515476558193,1.7881930836886195,0.2930563648756169,0.33877906885342496,0.0,False
B,60.0,C5,exp2,43.068926007719355,1.5439135827955521,1.7881930836886195,0.2930563648756169,0.33877906885342496,0.7377229885478118,True
B,10.0,C6,exp1,0.2505737016075726,0.30915042839359674,0.03166141326037716,0.29696737462329537,0.18468252354588358,0.0,True
B,10.0,C6,exp2,0.2505737016075726,0.03543951111364499,0.03166141326037716,0.29696737462329537,0.18468252354588358,0.0,True
B,30.0,C6,exp1,0.6171664174881183,1.097880408421505,0.0435336790692369,0.2951189760737813,0.20207463398561532,0.0,True
B,30.0,C6,exp2,0.6171664174881183,0.1202856039935744,0.0435336790692369,0.2951189760737813,0.20207463398561532,0.0,True
B,60.0,C6,exp1,7.448646732988059,49.091978685558864,0.7673261592732794,0.2930563648756169,0.33480815135226444,0.0,False
B,60.0,C6,exp2,7.448646732988059,1.5439135827955521,0.7673261592732794,0.2930563648756169,0.33480815135226444,0.7377229885478118,True
